YOUR LINE LINE
Damage: 27

00 | 0 Main |   0 | allies=0 | FireGY 0 | Start of Game                              | MEM0                               | HAND7 Rendi, Blazi, Blazi, Corha, Dazzl, March, PChef
14 | 1 Main |   2 | allies=3 | FireGY 0 | Attack from Corhazi Courier                | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
15 | 1 Main |   3 | allies=3 | FireGY 0 | Attack from March Hare, Mottled Host       | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
16 | 1 Agil |   3 | allies=3 | FireGY 0 | Main: Pass Opportunity                     | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
17 | 1 End  |   3 | allies=3 | FireGY 0 | End of Agility Phase                       | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
18 | 1 EMai |   3 | allies=3 | FireGY 0 | End of End Phase                           | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
19 | 2 EEnd |   3 | allies=2 | FireGY 1 | Enemy Main Phase                           | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
20 | 2 Wake |   3 | allies=2 | FireGY 1 | End of Enemy End Phase                     | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
21 | 2 Mate |   3 | allies=2 | FireGY 1 | Wake Up Phase                              | MEM4 Blazi, Blazi, Dazzl, PChef    | HAND1 Rendi
22 | 2 Mate |   3 | allies=2 | FireGY 1 | Mem Cost for Zander Lvl 1 (from Mem)       | MEM3 Blazi, Blazi, Dazzl           | HAND1 Rendi
23 | 2 Mate |   3 | allies=2 | FireGY 1 | Glimpse 2 (Manic Zealot, Vermilion Decree) | MEM3 Blazi, Blazi, Dazzl           | HAND1 Rendi
24 | 2 Mate |   3 | allies=2 | FireGY 1 | Zander Lvl 1 Glimpse/Prep                  | MEM3 Blazi, Blazi, Dazzl           | HAND1 Rendi
25 | 2 Reco |   3 | allies=2 | FireGY 1 | Materialization Resolves                   | MEM3 Blazi, Blazi, Dazzl           | HAND1 Rendi
26 | 2 Reco |   4 | allies=2 | FireGY 1 | Activate Poisoned Dagger                   | MEM3 Blazi, Blazi, Dazzl           | HAND1 Rendi
27 | 2 Main |   4 | allies=2 | FireGY 1 | Recollect (draw Rococ)                     | MEM0                               | HAND5 Rendi, Blazi, Blazi, Dazzl, Rococ
28 | 2 Main |   6 | allies=2 | FireGY 1 | Attack from Corhazi Courier                | MEM0                               | HAND5 Rendi, Blazi, Blazi, Dazzl, Rococ
29 | 2 Main |   8 | allies=2 | FireGY 2 | Corhazi On-Hit draw HCake / discard HCake  | MEM0                               | HAND5 Rendi, Blazi, Blazi, Dazzl, Rococ
30 | 2 Main |  10 | allies=2 | FireGY 2 | Attack from Corhazi Courier                | MEM0                               | HAND5 Rendi, Blazi, Blazi, Dazzl, Rococ
31 | 2 Main |  12 | allies=2 | FireGY 3 | Corhazi On-Hit draw Arthu / discard Arthu  | MEM0                               | HAND5 Rendi, Blazi, Blazi, Dazzl, Rococ
32 | 2 Main |  12 | allies=4 | FireGY 0 | Activate Dazzling Courtesan (Kindle 3)     | MEM0                               | HAND4 Rendi, Blazi, Blazi, Rococ
33 | 2 Main |  12 | allies=5 | FireGY 0 | Activate Rococo, Explosive Maven           | MEM1 Blazi                         | HAND2 Rendi, Blazi
34 | 2 Main |  15 | allies=5 | FireGY 0 | Rococo On-Enter damage                     | MEM1 Blazi                         | HAND2 Rendi, Blazi
35 | 2 Main |  17 | allies=5 | FireGY 0 | Attack from March Hare, Mottled Host       | MEM1 Blazi                         | HAND2 Rendi, Blazi
36 | 2 Main |  20 | allies=5 | FireGY 0 | Attack from Dazzling Courtesan             | MEM1 Blazi                         | HAND2 Rendi, Blazi
37 | 2 Main |  22 | allies=5 | FireGY 0 | Attack from Rococo, Explosive Maven        | MEM1 Blazi                         | HAND2 Rendi, Blazi
38 | 2 Main |  22 | allies=5 | FireGY 0 | Materialize Mercenary's Blade (prep)       | MEM1 Blazi                         | HAND2 Rendi, Blazi
39 | 2 Main |  27 | allies=5 | FireGY 1 | Activate Blazing Throw (Mercenary's Blade) | MEM2 Rendi, Blazi                  | HAND0
40 | 2 Agil |  27 | allies=5 | FireGY 1 | Main: Pass Opportunity                     | MEM2 Rendi, Blazi                  | HAND0
41 | 2 End  |  27 | allies=5 | FireGY 1 | End of Agility Phase                       | MEM2 Rendi, Blazi                  | HAND0
42 | 2 EMai |  27 | allies=5 | FireGY 1 | End of End Phase                           | MEM2 Rendi, Blazi                  | HAND0

--- fireline-line-v1 ---
{"version":1,"label":"YOUR LINE LINE","damage":27,"hand":["rending_flames","blazing_throw","blazing_throw","corhazi_courier","dazzling_courtesan","march_hare","peppered_chef"],"goFirst":true,"turns":2,"events":[{"op":"start","kind":"start","actionIndex":0,"turn":0,"phase":"main","damage":0,"fireGy":0,"hand":["rending_flames","blazing_throw","blazing_throw","corhazi_courier","dazzling_courtesan","march_hare","peppered_chef"],"memory":[],"allies":[]},{"op":"playAlly","kind":"play","actionIndex":1,"turn":0,"phase":"main","damage":0,"fireGy":0,"card":"corhazi_courier","hand":["dazzling_courtesan","march_hare","peppered_chef"],"memory":["rending_flames","blazing_throw","blazing_throw"],"allies":["corhazi_courier"]},{"op":"pass","kind":"passOpportunity","actionIndex":1,"turn":0,"phase":"agility","damage":0,"fireGy":0,"hand":["dazzling_courtesan","march_hare","peppered_chef"],"memory":["rending_flames","blazing_throw","blazing_throw"],"allies":["corhazi_courier"]},{"op":"pass","kind":"endAgility","actionIndex":1,"turn":0,"phase":"end","damage":0,"fireGy":0},{"op":"pass","kind":"endMain","actionIndex":1,"turn":0,"phase":"enemyMain","damage":0,"fireGy":0},{"op":"pass","kind":"enemyMain","actionIndex":1,"turn":1,"phase":"enemyEnd","damage":0,"fireGy":0},{"op":"pass","kind":"wake","actionIndex":1,"turn":1,"phase":"wake","damage":0,"fireGy":0},{"op":"pass","kind":"wake","actionIndex":1,"turn":1,"phase":"materialize","damage":0,"fireGy":0},{"op":"materializeDagger","kind":"materializeDagger","actionIndex":1,"turn":1,"phase":"materialize","damage":0,"fireGy":0,"hand":["dazzling_courtesan","march_hare","peppered_chef"],"memory":["rending_flames","blazing_throw","blazing_throw"],"allies":["corhazi_courier"]},{"op":"materializeDagger","kind":"materializeResolves","actionIndex":1,"turn":1,"phase":"recollect","damage":0,"fireGy":0},{"op":"skipPreRecollect","kind":"recollect","actionIndex":1,"turn":1,"phase":"main","damage":0,"fireGy":0,"drawn":"corhazi_courier","hand":["rending_flames","blazing_throw","blazing_throw","corhazi_courier","dazzling_courtesan","march_hare","peppered_chef"],"memory":[],"allies":["corhazi_courier"]},{"op":"playAlly","kind":"play","actionIndex":1,"turn":1,"phase":"main","damage":0,"fireGy":0,"card":"corhazi_courier","hand":["rending_flames","blazing_throw","march_hare"],"memory":["blazing_throw","dazzling_courtesan","peppered_chef"],"allies":["corhazi_courier","corhazi_courier"]},{"op":"playAlly","kind":"play","actionIndex":1,"turn":1,"phase":"main","damage":0,"fireGy":0,"card":"march_hare","hand":["rending_flames"],"memory":["blazing_throw","blazing_throw","dazzling_courtesan","peppered_chef"],"allies":["corhazi_courier","corhazi_courier","march_hare"]},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":1,"phase":"main","damage":1,"fireGy":0,"card":"corhazi_courier","hand":["rending_flames"],"memory":["blazing_throw","blazing_throw","dazzling_courtesan","peppered_chef"],"allies":["corhazi_courier","corhazi_courier","march_hare"]},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":1,"phase":"main","damage":2,"fireGy":0,"card":"corhazi_courier"},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":1,"phase":"main","damage":3,"fireGy":0,"card":"march_hare"},{"op":"pass","kind":"passOpportunity","actionIndex":1,"turn":1,"phase":"agility","damage":3,"fireGy":0,"hand":["rending_flames"],"memory":["blazing_throw","blazing_throw","dazzling_courtesan","peppered_chef"],"allies":["corhazi_courier","corhazi_courier","march_hare"]},{"op":"pass","kind":"endAgility","actionIndex":1,"turn":1,"phase":"end","damage":3,"fireGy":0},{"op":"pass","kind":"endMain","actionIndex":1,"turn":1,"phase":"enemyMain","damage":3,"fireGy":0},{"op":"pass","kind":"enemyMain","actionIndex":1,"turn":2,"phase":"enemyEnd","damage":3,"fireGy":1,"hand":["rending_flames"],"memory":["blazing_throw","blazing_throw","dazzling_courtesan","peppered_chef"],"allies":["corhazi_courier","corhazi_courier"]},{"op":"pass","kind":"wake","actionIndex":1,"turn":2,"phase":"wake","damage":3,"fireGy":1},{"op":"pass","kind":"wake","actionIndex":1,"turn":2,"phase":"materialize","damage":3,"fireGy":1},{"op":"materializeZanderMemory","kind":"floatForZander","actionIndex":1,"turn":2,"phase":"materialize","damage":3,"fireGy":1,"hand":["rending_flames"],"memory":["blazing_throw","blazing_throw","dazzling_courtesan"],"allies":["corhazi_courier","corhazi_courier"],"fromMemory":true},{"op":"materializeZanderMemory","kind":"glimpse","actionIndex":1,"turn":2,"phase":"materialize","damage":3,"fireGy":1,"card":"manic_zealot","drawn":"vermilion_decree"},{"op":"materializeZanderMemory","kind":"levelZander","actionIndex":1,"turn":2,"phase":"materialize","damage":3,"fireGy":1},{"op":"materializeZanderMemory","kind":"materializeResolves","actionIndex":1,"turn":2,"phase":"recollect","damage":3,"fireGy":1},{"op":"activateDagger","kind":"activateDagger","actionIndex":1,"turn":2,"phase":"recollect","damage":4,"fireGy":1,"hand":["rending_flames"],"memory":["blazing_throw","blazing_throw","dazzling_courtesan"],"allies":["corhazi_courier","corhazi_courier"]},{"op":"skipPreRecollect","kind":"recollect","actionIndex":1,"turn":2,"phase":"main","damage":4,"fireGy":1,"drawn":"rococo","hand":["rending_flames","blazing_throw","blazing_throw","dazzling_courtesan","rococo"],"memory":[],"allies":["corhazi_courier","corhazi_courier"]},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":2,"phase":"main","damage":6,"fireGy":1,"card":"corhazi_courier","hand":["rending_flames","blazing_throw","blazing_throw","dazzling_courtesan","rococo"],"memory":[],"allies":["corhazi_courier","corhazi_courier"]},{"op":"attackOthers","kind":"corhaziOnHit","actionIndex":1,"turn":2,"phase":"main","damage":8,"fireGy":2,"drawn":"hot_cake","discarded":"hot_cake"},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":2,"phase":"main","damage":10,"fireGy":2,"card":"corhazi_courier"},{"op":"attackOthers","kind":"corhaziOnHit","actionIndex":1,"turn":2,"phase":"main","damage":12,"fireGy":3,"drawn":"arthur","discarded":"arthur"},{"op":"playAlly","kind":"play","actionIndex":1,"turn":2,"phase":"main","damage":12,"fireGy":0,"card":"dazzling_courtesan","kindle":3,"hand":["rending_flames","blazing_throw","blazing_throw","rococo"],"memory":[],"allies":["corhazi_courier","corhazi_courier","march_hare","dazzling_courtesan"]},{"op":"playAlly","kind":"play","actionIndex":1,"turn":2,"phase":"main","damage":12,"fireGy":0,"card":"rococo","hand":["rending_flames","blazing_throw"],"memory":["blazing_throw"],"allies":["corhazi_courier","corhazi_courier","march_hare","dazzling_courtesan","rococo"]},{"op":"playAlly","kind":"onEnterDamage","actionIndex":1,"turn":2,"phase":"main","damage":15,"fireGy":0,"card":"rococo"},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":2,"phase":"main","damage":17,"fireGy":0,"card":"march_hare","hand":["rending_flames","blazing_throw"],"memory":["blazing_throw"],"allies":["corhazi_courier","corhazi_courier","march_hare","dazzling_courtesan","rococo"]},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":2,"phase":"main","damage":20,"fireGy":0,"card":"dazzling_courtesan"},{"op":"attackOthers","kind":"allyAttack","actionIndex":1,"turn":2,"phase":"main","damage":22,"fireGy":0,"card":"rococo"},{"op":"mercenaryBlade","kind":"materializeBlade","actionIndex":1,"turn":2,"phase":"main","damage":22,"fireGy":0,"hand":["rending_flames","blazing_throw"],"memory":["blazing_throw"],"allies":["corhazi_courier","corhazi_courier","march_hare","dazzling_courtesan","rococo"]},{"op":"blazingThrow","kind":"play","actionIndex":1,"turn":2,"phase":"main","damage":27,"fireGy":1,"card":"blazing_throw","weapon":"mercenary_blade","hand":[],"memory":["rending_flames","blazing_throw"],"allies":["corhazi_courier","corhazi_courier","march_hare","dazzling_courtesan","rococo"]},{"op":"pass","kind":"passOpportunity","actionIndex":1,"turn":2,"phase":"agility","damage":27,"fireGy":1,"hand":[],"memory":["rending_flames","blazing_throw"],"allies":["corhazi_courier","corhazi_courier","march_hare","dazzling_courtesan","rococo"]},{"op":"pass","kind":"endAgility","actionIndex":1,"turn":2,"phase":"end","damage":27,"fireGy":1},{"op":"pass","kind":"endMain","actionIndex":1,"turn":2,"phase":"enemyMain","damage":27,"fireGy":1}]}
